system_name,discovery_date,alternate_name,kind_acronym,discovery_acronym,reference_identifier,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,theta_e_quality,z_lens,z_lens_err,z_lens_quality,z_source,z_source_err,z_source_quality,vdisp,vdisp_err,filter_lens,filter_source,fluxes,mag_lens,mag_source,morphology,has_sdss,sdss_link,has_adsabs,adsabs_link,apod_link,vett_status,released_status,hidden_status,vetted,released,hidden,graphic_status,equinox,sdss_ObjID,sdss_specObjID,time_delay0,time_delay1,lens_name
SDSS J0008-0004," ""2008-08-01"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""00"""," ""08"""," ""2.96""",2.01231," ""-00"""," ""04"""," ""8.26""",-0.06896," ""A""",3,1.16,0.02,1,0.44,0.0001,1,1.192,0.001,1,232,39," ""I"""," """"", NaN," ""18.52"""," """""," """""," ""1"""," ""ra=2.01231&amp;amp;dec=-0.06896"""," ""1"""," ""&amp;amp;object=2.01231%2D0.06896"""," """""," ""1"""," ""1"""," ""0"""," ""2012-11-27 14:03:29"""," ""2012-11-27 14:03:29"""," ""0000-00-00 00:00:00"""," ""3"""," ""J2000"""," ""1237657190906069665"""," ""753269961564121088""",0,0," ""SDSS J0008-0004"""
SDSS J0029-0055," ""2008-08-01"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""00"""," ""29"""," ""7.78""",7.2824," ""-00"""," ""55"""," ""50.56""",-0.93071," ""A""",2,0.96,0.02,1,0.22704,5e-05,1,0.9313,0.0001,1,202,18," ""I"""," """"", NaN," ""17.05"""," """""," """""," ""1"""," ""ra=7.28240&amp;amp;dec=-0.93071"""," ""1"""," ""&amp;amp;object=7.28240%2D0.93071"""," """""," ""1"""," ""1"""," ""0"""," ""2012-11-27 14:23:13"""," ""2012-11-27 14:23:13"""," ""0000-00-00 00:00:00"""," ""3"""," ""J2000"""," ""1237657189834621096"""," ""440251082728302592""", NaN, NaN," ""SDSS J0029-0055"""
SDSS J0037-0942," ""2006-02-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ638(2006)703"""," ""00"""," ""37"""," ""53.21""",9.470501666," ""-09"""," ""42"""," ""20.12""",-9.704589999," ""A""",2,1.53,0.01,1,0.19545,3e-05,1,0.632,0.001,1,274,10," ""I"""," """"", NaN," ""16.2"""," """""," """""," ""1"""," ""ra=9.4705016657&amp;amp;dec=-9.7045899992"""," ""1"""," ""&amp;amp;object=9.4705016657%2D9.704"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:21:23"""," ""2014-03-12 13:21:23"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237652947992838246"""," ""737572227393808384""", NaN, NaN," ""SDSS J0037-0942"""
SDSS J0044+0113," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""00"""," ""44"""," ""2.9""",11.01208," ""+01"""," ""13"""," ""12.65""",1.22018," ""A""",2,0.79,0.01,1,0.11958,3e-05,1,0.197,0.001,1,254,12," ""I"""," """"", NaN," ""15.69"""," """""," """""," ""1"""," ""ra=11.01208&amp;amp;dec=+1.22018"""," ""1"""," ""&amp;amp;object=11.01208%2B1.22018"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:21:37"""," ""2014-03-12 13:21:37"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237666340797153365"""," ""442604037813069824""", NaN, NaN," ""SDSS J0044+0113"""
SDSS J0109+1500," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""01"""," ""09"""," ""33.73""",17.39054," ""+15"""," ""00"""," ""32.51""",15.00903," ""A""",1,0.69,0.01,1,0.29388,6e-05,1,0.525,0.001,1,243,18," ""I"""," """"", NaN," ""17.63"""," """""," """""," ""1"""," ""ra=17.39054&amp;amp;dec=+15.00903"""," ""1"""," ""&amp;amp;object=17.39054%2B15.00903"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:21:58"""," ""2014-03-12 13:21:58"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237666090588635244"""," ""475269429047879680""", NaN, NaN," ""SDSS J0109+1500"""
SDSS J0157-0056," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""01"""," ""57"""," ""58.94""",29.49557," ""-00"""," ""56"""," ""26.09""",-0.94058," ""A""",3,0.79,0.01,1,0.92428,0.0001,1,0.924,0.001,1, NaN, NaN," ""I"""," """"", NaN," ""18.59"""," """""," """""," ""1"""," ""ra=29.49557&amp;amp;dec=-0.94058"""," ""1"""," ""&amp;amp;object=29.49557%2D0.94058"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:56:01"""," ""2014-03-12 13:56:01"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237657069549453624"""," ""788135469241100288""",0,0," ""SDSS J0157-0056"""
SDSS J0216-0813," ""2006-02-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ638(2006)703"""," ""02"""," ""16"""," ""52.54""",34.21893," ""-08"""," ""13"""," ""45.37""",-8.22927," ""A""",3,1.16,0.01,1,0.33165,7e-05,1,0.523,0.001,1,332,24," ""I"""," """"", NaN," ""16.86"""," """""," """""," ""1"""," ""ra=34.21893&amp;amp;dec=-8.22927"""," ""1"""," ""&amp;amp;object=34.21893%2D8.22927"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:56:08"""," ""2014-03-12 13:56:08"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237652901299814497"""," ""752218821787412480""",0,0," ""SDSS J0216-0813"""
SDSS J0252+0039," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""02"""," ""52"""," ""45.21""",43.18838," ""+00"""," ""39"""," ""58.36""",0.66621," ""A""",3,1.04,0.01,1,0.2803,4e-05,1,0.982,0.001,1,172,11," ""I"""," """"", NaN," ""17.87"""," """""," """""," ""1"""," ""ra=43.18838&amp;amp;dec=+0.66621"""," ""1"""," ""&amp;amp;object=43.18838%2B0.66621"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:57:42"""," ""2014-03-12 13:57:42"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237657587098976446"""," ""908770038360598528""",0,0," ""SDSS J0252+0039"""
SDSS J0330-0020," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""03"""," ""30"""," ""12.12""",52.55052," ""-00"""," ""20"""," ""51.9""",-0.34775," ""A""",2,1.1,0.01,1,0.35071,8e-05,1,1.071,0.001,1,242,30," ""I"""," """"", NaN," ""17.99"""," """""," """""," ""1"""," ""ra=52.55052&amp;amp;dec=-0.34775"""," ""1"""," ""&amp;amp;object=52.55052%2D0.34775"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:55:42"""," ""2014-03-12 13:55:42"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237660240314761417"""," ""912048238603823104""", NaN, NaN," ""SDSS J0330-0020"""
SDSS J0405-0455," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""04"""," ""05"""," ""35.41""",61.39756," ""-04"""," ""55"""," ""52.39""",-4.93122," ""A""",1,0.8,0.01,1,0.07527,2e-05,1,0.81,0.01,1,169,7," ""I"""," """"", NaN," ""16.22"""," """""," """""," ""1"""," ""ra=61.39756&amp;amp;dec=-4.93122"""," ""1"""," ""&amp;amp;object=61.39756%2D4.93122"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:58:32"""," ""2014-03-12 13:58:32"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237649963533926655"""," ""523655089156548608""", NaN, NaN," ""SDSS J0405-0455"""
SDSS J0728+3835," ""2009-11-01"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ705(2009)1099"""," ""07"""," ""28"""," ""4.95""",112.02062," ""+38"""," ""35"""," ""25.76""",38.59049," ""A""",3,1.25,0.01,1,0.20576,3e-05,1,0.688,0.001,1,214,11," ""I"""," """"", NaN," ""16.62"""," """""," """""," ""1"""," ""ra=112.02062&amp;amp;dec=+38.59049"""," ""1"""," ""&amp;amp;object=112.02062%2B38.59049"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:58:49"""," ""2014-03-12 13:58:49"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," """""," """"", NaN, NaN," ""SDSS J0728+3835"""
SDSS J0737+3216," ""2006-02-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ638(2006)703"""," ""07"""," ""37"""," ""28.45""",114.36855," ""+32"""," ""16"""," ""18.59""",32.27183," ""A""",3,1,0.01,1,0.32234,4e-05,1,0.581,0.001,1,301,16," ""I"""," """"", NaN," ""16.95"""," """""," """""," ""1"""," ""ra=114.36855&amp;amp;dec=+32.27183"""," ""1"""," ""&amp;amp;object=114.36855%2B32.27183"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 13:59:05"""," ""2014-03-12 13:59:05"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237654390562488578"""," ""609151739764959232""", NaN, NaN," ""SDSS J0737+3216"""
SDSS J0808+4706," ""2008-08-00"""," """""," ""GAL-GAL"""," ""SLACS"""," ""ApJ682(2008)964"""," ""08"""," ""08"""," ""58.78""",122.24493," ""+47"""," ""06"""," ""38.84""",47.11079," ""A""",2, NaN, NaN,0,0.21946,3e-05,1,1.025,0.001,1,227,11," ""I"""," """"", NaN," ""16.74"""," """""," """""," ""1"""," ""ra=122.24493&amp;amp;dec=+47.11079"""," ""1"""," ""&amp;amp;object=122.24493%2B47.11079"""," """""," ""1"""," ""1"""," ""0"""," ""2014-03-12 14:00:34"""," ""2014-03-12 14:00:34"""," ""0000-00-00 00:00:00"""," ""2"""," ""J2000"""," ""1237651495221919930"""," ""493296748043724800""", NaN, NaN," ""SDSS J0808+4706"""
